公司代码 	公司简称 	代码	简称	上市日期	总股本	流通股本	
600000	  浦发银行	  600000	  浦发银行	  1999-11-10	  2935208.04	  2810376.39	  
600004	  白云机场	  600004	  白云机场	  2003-04-28	  206932.05	  206932.05	  
600006	  东风汽车	  600006	  东风汽车	  1999-07-27	  200000.00	  200000.00	  
600007	  中国国贸	  600007	  中国国贸	  1999-03-12	  100728.25	  100728.25	  
600008	  首创股份	  600008	  首创股份	  2000-04-27	  568544.82	  482061.41	  
600009	  上海机场	  600009	  上海机场	  1998-02-18	  192695.84	  109347.64	  
600010	  包钢股份	  600010	  包钢股份	  2001-03-09	  4558503.26	  3167721.16	  
600011	  华能国际	  600011	  华能国际	  2001-12-06	  1569809.34	  1520038.34	  
600012	  皖通高速	  600012	  皖通高速	  2003-01-07	  165861.00	  165861.00	  
600015	  华夏银行	  600015	  华夏银行	  2003-09-12	  1538722.40	  1282268.67	  
600016	  民生银行	  600016	  民生银行	  2000-12-19	  4378241.85	  4378241.85	  
600017	  日照港	  600017	  日照港	  2006-10-17	  307565.39	  307565.39	  
600018	  上港集团	  600018	  上港集团	  2006-10-26	  2317367.47	  2317367.47	  
600019	  宝钢股份	  600019	  宝钢股份	  2000-12-12	  2227613.41	  2210108.69	  
600020	  中原高速	  600020	  中原高速	  2003-08-08	  224737.18	  224737.18	  
600021	  上海电力	  600021	  上海电力	  2003-10-29	  261716.42	  213973.93	  
600022	  山东钢铁	  600022	  山东钢铁	  2004-06-29	  1094654.96	  1094654.96	  
600023	  浙能电力	  600023	  浙能电力	  2013-12-19	  1360069.00	  1360069.00	  
600025	  华能水电	  600025	  华能水电	  2017-12-15	  1800000.00	  892800.00	  
600026	  中远海能	  600026	  中远海能	  2002-05-23	  403203.29	  403203.29	  
600027	  华电国际	  600027	  华电国际	  2005-02-03	  986297.67	  871297.67	  
600028	  中国石化	  600028	  中国石化	  2001-08-08	  12107120.96	  12107120.96	  
600029	  南方航空	  600029	  南方航空	  2003-07-25	  1226717.23	  1068909.92	  
600030	  中信证券	  600030	  中信证券	  2003-01-06	  1211690.84	  1209298.94	  
600031	  三一重工	  600031	  三一重工	  2003-07-03	  837509.25	  833789.65	  
600033	  福建高速	  600033	  福建高速	  2001-02-09	  274440.00	  274440.00	  
600035	  楚天高速	  600035	  楚天高速	  2004-03-10	  172808.68	  152670.32	  
600036	  招商银行	  600036	  招商银行	  2002-04-09	  2521984.56	  2521984.56	  
600037	  歌华有线	  600037	  歌华有线	  2001-02-08	  139177.79	  139177.79	  
600038	  中直股份	  600038	  中直股份	  2000-12-18	  58947.67	  58947.67	  
600039	  四川路桥	  600039	  四川路桥	  2003-03-25	  361052.55	  345707.28	  
600048	  保利地产	  600048	  保利地产	  2006-07-31	  1189502.91	  1189502.91	  
600050	  中国联通	  600050	  中国联通	  2002-10-09	  3104096.77	  2119659.64	  
600051	  宁波联合	  600051	  宁波联合	  1997-04-10	  31088.00	  31088.00	  
600052	  浙江广厦	  600052	  浙江广厦	  1997-04-18	  87178.91	  87178.91	  
600053	  九鼎投资	  600053	  九鼎投资	  1997-04-18	  43354.08	  43354.08	  
600054	  黄山旅游	  600054	  黄山旅游	  1997-05-06	  72937.94	  72937.94	  
600055	  万东医疗	  600055	  万东医疗	  1997-05-19	  54081.62	  54081.62	  
600056	  中国医药	  600056	  中国医药	  1997-05-15	  106848.55	  101213.61	  
600057	  厦门象屿	  600057	  厦门象屿	  1997-06-04	  215745.41	  215745.41	  
600058	  五矿发展	  600058	  五矿发展	  1997-05-28	  107191.07	  107191.07	  
600059	  古越龙山	  600059	  古越龙山	  1997-05-16	  80852.42	  80852.42	  
600060	  海信电器	  600060	  海信电器	  1997-04-22	  130848.12	  130848.12	  
600061	  国投资本	  600061	  国投资本	  1997-05-19	  422712.97	  417383.19	  
600062	  华润双鹤	  600062	  华润双鹤	  1997-05-22	  104323.77	  104323.77	  
600063	  皖维高新	  600063	  皖维高新	  1997-05-28	  192589.47	  192589.47	  
600064	  南京高科	  600064	  南京高科	  1997-05-06	  123595.69	  123595.69	  
600066	  宇通客车	  600066	  宇通客车	  1997-05-08	  221393.92	  190348.42	  
600067	  冠城大通	  600067	  冠城大通	  1997-05-08	  149211.07	  149211.07	  
600068	  葛洲坝	  600068	  葛洲坝	  1997-05-26	  460477.74	  460477.74	  
600069	  银鸽投资	  600069	  银鸽投资	  1997-04-30	  162383.38	  162383.38	  
600070	  浙江富润	  600070	  浙江富润	  1997-06-04	  52194.61	  44134.81	  
600071	  凤凰光学	  600071	  凤凰光学	  1997-05-28	  28157.39	  23747.25	  
600072	  中船科技	  600072	  中船科技	  1997-06-03	  73624.99	  60077.88	  
600073	  上海梅林	  600073	  上海梅林	  1997-07-04	  93772.95	  93772.95	  
600074	  *ST保千 	  600074	  *ST保千 	  1997-06-23	  243788.60	  101831.37	  
600075	  新疆天业	  600075	  新疆天业	  1997-06-17	  97252.24	  97252.24	  
600076	  康欣新材	  600076	  康欣新材	  1997-05-26	  103426.41	  103426.41	  
600077	  宋都股份	  600077	  宋都股份	  1997-05-20	  134012.23	  134012.23	  
600078	  澄星股份	  600078	  澄星股份	  1997-06-27	  66257.29	  66257.29	  
600079	  人福医药	  600079	  人福医药	  1997-06-06	  135370.43	  128604.91	  
600080	  金花股份	  600080	  金花股份	  1997-06-12	  37327.03	  30529.59	  
600081	  东风科技	  600081	  东风科技	  1997-07-03	  31356.00	  31356.00	  
600082	  海泰发展	  600082	  海泰发展	  1997-06-20	  64611.58	  63393.88	  
600083	  博信股份	  600083	  博信股份	  1997-06-06	  23000.00	  22799.33	  
600084	  *ST中葡	  600084	  *ST中葡	  1997-07-11	  112372.68	  112372.68	  
600085	  同仁堂	  600085	  同仁堂	  1997-06-25	  137147.03	  137147.03	  
600086	  东方金钰	  600086	  东方金钰	  1997-06-06	  135000.00	  105684.50	  
600088	  中视传媒	  600088	  中视传媒	  1997-06-16	  39770.64	  39770.64	  
600089	  特变电工	  600089	  特变电工	  1997-06-18	  371450.28	  371431.28	  
600090	  同济堂	  600090	  同济堂	  1997-06-16	  143966.29	  143966.29	  
600091	  ST明科	  600091	  ST明科	  1997-07-04	  43741.25	  43741.25	  
600093	  易见股份	  600093	  易见股份	  1997-06-26	  112244.75	  112244.75	  
600094	  大名城	  600094	  大名城	  1997-07-03	  247532.51	  247532.51	  
600095	  哈高科	  600095	  哈高科	  1997-07-08	  36126.36	  36126.36	  
600096	  云天化	  600096	  云天化	  1997-07-09	  142767.49	  132137.91	  
600097	  开创国际	  600097	  开创国际	  1997-06-19	  24093.66	  22627.30	  
600098	  广州发展	  600098	  广州发展	  1997-07-18	  272619.66	  272619.66	  
600099	  林海股份	  600099	  林海股份	  1997-07-04	  21912.00	  21912.00	  
600100	  同方股份	  600100	  同方股份	  1997-06-27	  296389.90	  296389.90	  
600101	  明星电力	  600101	  明星电力	  1997-06-27	  32417.90	  32417.90	  
600103	  青山纸业	  600103	  青山纸业	  1997-07-03	  230581.78	  138039.41	  
600104	  上汽集团	  600104	  上汽集团	  1997-11-25	  1168346.14	  1150343.29	  
600105	  永鼎股份	  600105	  永鼎股份	  1997-09-29	  124561.27	  123827.48	  
600106	  重庆路桥	  600106	  重庆路桥	  1997-06-18	  120820.46	  120820.46	  
600107	  美尔雅	  600107	  美尔雅	  1997-11-06	  36000.00	  36000.00	  
600108	  亚盛集团	  600108	  亚盛集团	  1997-08-18	  194691.51	  194691.51	  
600109	  国金证券	  600109	  国金证券	  1997-08-07	  302435.93	  302435.93	  
600110	  诺德股份	  600110	  诺德股份	  1997-10-07	  115031.21	  115031.21	  
600111	  北方稀土	  600111	  北方稀土	  1997-09-24	  363306.60	  363306.60	  
600112	  ST天成	  600112	  ST天成	  1997-11-27	  50920.48	  50920.48	  
600113	  浙江东日	  600113	  浙江东日	  1997-10-21	  41143.12	  41143.12	  
600114	  东睦股份	  600114	  东睦股份	  2004-05-11	  64554.59	  63917.60	  
600115	  东方航空	  600115	  东方航空	  1997-11-05	  1446758.57	  1446758.57	  
600116	  三峡水利	  600116	  三峡水利	  1997-08-04	  99300.55	  99300.55	  
600117	  西宁特钢	  600117	  西宁特钢	  1997-10-15	  104511.83	  74121.93	  
600118	  中国卫星	  600118	  中国卫星	  1997-09-08	  118248.91	  118248.91	  
600119	  *ST长投	  600119	  *ST长投	  1998-01-15	  30740.00	  30740.00	  
600120	  浙江东方	  600120	  浙江东方	  1997-12-01	  113670.45	  86466.17	  
600121	  郑州煤电	  600121	  郑州煤电	  1998-01-07	  101534.34	  101534.34	  
600122	  宏图高科	  600122	  宏图高科	  1998-04-20	  115825.84	  115825.84	  
600123	  兰花科创	  600123	  兰花科创	  1998-12-17	  114240.00	  114240.00	  
600125	  铁龙物流	  600125	  铁龙物流	  1998-05-11	  130552.19	  130552.19	  
600126	  杭钢股份	  600126	  杭钢股份	  1998-03-11	  337718.91	  337718.91	  
600127	  金健米业	  600127	  金健米业	  1998-05-06	  64178.32	  64178.32	  
600128	  弘业股份	  600128	  弘业股份	  1997-09-01	  24676.75	  24676.75	  
600129	  太极集团	  600129	  太极集团	  1997-11-18	  55689.07	  54389.11	  
600130	  波导股份	  600130	  波导股份	  2000-07-06	  76800.00	  76800.00	  
600131	  岷江水电	  600131	  岷江水电	  1998-04-02	  50412.52	  40765.89	  
600132	  重庆啤酒	  600132	  重庆啤酒	  1997-10-30	  48397.12	  48397.12	  
600133	  东湖高新	  600133	  东湖高新	  1998-02-12	  72577.95	  69317.08	  
600135	  乐凯胶片	  600135	  乐凯胶片	  1998-01-22	  37299.17	  37299.17	  
600136	  当代明诚	  600136	  当代明诚	  1998-03-03	  48718.22	  48688.22	  
600137	  浪莎股份	  600137	  浪莎股份	  1998-04-16	  9721.76	  9721.76	  
600138	  中青旅	  600138	  中青旅	  1997-12-03	  72384.00	  72384.00	  
600139	  西部资源	  600139	  西部资源	  1998-02-25	  66189.05	  66189.05	  
600141	  兴发集团	  600141	  兴发集团	  1999-06-16	  72718.08	  71364.70	  
600143	  金发科技	  600143	  金发科技	  2004-06-23	  271678.48	  256000.00	  
600145	  *ST新亿	  600145	  *ST新亿	  1999-09-23	  149110.04	  149110.04	  
600146	  商赢环球	  600146	  商赢环球	  1999-07-07	  46997.00	  20000.00	  
600148	  长春一东	  600148	  长春一东	  1998-05-20	  14151.65	  14151.65	  
600149	  ST坊展	  600149	  ST坊展	  1999-10-14	  38016.00	  38016.00	  
600150	  中国船舶	  600150	  中国船舶	  1998-05-20	  137811.76	  137811.76	  
600151	  航天机电	  600151	  航天机电	  1998-06-05	  143425.23	  138869.57	  
600152	  维科技术	  600152	  维科技术	  1998-06-09	  44093.16	  29494.22	  
600153	  建发股份	  600153	  建发股份	  1998-06-16	  283520.05	  283520.05	  
600155	  华创阳安	  600155	  华创阳安	  1998-09-18	  173955.66	  112824.22	  
600156	  华升股份	  600156	  华升股份	  1998-05-27	  40211.07	  40211.07	  
600157	  永泰能源	  600157	  永泰能源	  1998-05-13	  1242579.53	  1242579.53	  
600158	  中体产业	  600158	  中体产业	  1998-03-27	  84373.54	  65749.54	  
600159	  大龙地产	  600159	  大龙地产	  1998-05-26	  83000.32	  83000.32	  
600160	  巨化股份	  600160	  巨化股份	  1998-06-26	  274516.61	  265842.01	  
600161	  天坛生物	  600161	  天坛生物	  1998-06-16	  104536.68	  104536.68	  
600162	  香江控股	  600162	  香江控股	  1998-06-09	  339932.74	  298025.46	  
600163	  中闽能源	  600163	  中闽能源	  1998-06-02	  99946.52	  99946.52	  
